target,Comments,Tokenize_review
Neutral,finnish player jamppi sees valve over alleged sac ban talkesport,"['finnish', 'player', 'jamppi', 'sees', 'valve', 'alleged', 'sac', 'ban', 'talkesport']"
Irrelevant,you can catch with all the box has games podcast right here the box one the best box podcast out here box xboxseriesx xboxseriess,"['catch', 'box', 'games', 'podcast', 'right', 'box', 'one', 'best', 'box', 'podcast', 'box', 'xboxseriesx', 'xboxseriess']"
Irrelevant,git god head smiling community probably,"['git', 'god', 'head', 'smiling', 'community', 'probably']"
Irrelevant,see can get behind when you explain self controller only broken when you have with that makes complete sense thank you nina for actually explaining and not being fucking retard like everybody else,"['see', 'get', 'behind', 'explain', 'self', 'controller', 'broken', 'makes', 'complete', 'sense', 'thank', 'nina', 'actually', 'explaining', 'fucking', 'retard', 'like', 'everybody', 'else']"
Neutral,the ogg data pit season europe his looks like going one neck tournament with some the best tears europe competing exports data data,"['ogg', 'data', 'pit', 'season', 'europe', 'looks', 'like', 'going', 'one', 'neck', 'tournament', 'best', 'tears', 'europe', 'competing', 'exports', 'data', 'data']"
Neutral,your pathetic freeze cannot stop minion hearthstone daily moments,"['pathetic', 'freeze', 'stop', 'minion', 'hearthstone', 'daily', 'moments']"
Irrelevant,team military are your runners pub the showdown tournament organized game wish them the very best the coming tournament brotherhood greenarmy teamspeak bet tmpubg,"['team', 'military', 'runners', 'pub', 'showdown', 'tournament', 'organized', 'game', 'wish', 'best', 'coming', 'tournament', 'brotherhood', 'greenarmy', 'teamspeak', 'bet', 'tmpubg']"
Irrelevant,not even part callofduty community but this shit noah stream soon interesting,"['even', 'part', 'callofduty', 'community', 'shit', 'noah', 'stream', 'soon', 'interesting']"
Irrelevant,status hour workweeks are pretty bad,"['status', 'hour', 'workweeks', 'pretty', 'bad']"
Positive,the copper shot stunning,"['copper', 'shot', 'stunning']"
Neutral,used think allison was guy this just proves that tramp into making all his friends money and screwing with people sorry microsoft stupid pus pots,"['used', 'think', 'allison', 'guy', 'proves', 'tramp', 'making', 'friends', 'money', 'screwing', 'people', 'sorry', 'microsoft', 'stupid', 'pus', 'pots']"
Positive,completed fustercluck this weekend rounding off year one borderlands decided back response and play the original borderlands again had the got version already the shooting feels awful going some suggested in changes tomorrow,"['completed', 'fustercluck', 'weekend', 'rounding', 'year', 'one', 'borderlands', 'decided', 'back', 'response', 'play', 'original', 'borderlands', 'got', 'version', 'already', 'shooting', 'feels', 'awful', 'going', 'suggested', 'changes', 'tomorrow']"
Irrelevant,xboxaimbot com the greatest site get free mode fortunate pub akimbo cheat apex box plantation game boone bucks switch warne pubgmobile,"['xboxaimbot', 'com', 'greatest', 'site', 'get', 'free', 'mode', 'fortunate', 'pub', 'akimbo', 'cheat', 'apex', 'box', 'plantation', 'game', 'boone', 'bucks', 'switch', 'warne', 'pubgmobile']"
Positive,doing anything extreme will cause consequences banking pub not the solution unbanpubg,"['anything', 'extreme', 'cause', 'consequences', 'banking', 'pub', 'solution', 'unbanpubg']"
Negative,wasted,['wasted']
Neutral,playing if with girl she got her first goal against and someone won shut,"['playing', 'girl', 'got', 'first', 'goal', 'someone', 'shut']"
Neutral,didn have massive success indieapril but happy because saw two reviews amazon today and they made what has been happy week personal life little better reviewmay darkfantasy here one detailed review nevergiveup you will find your audience pick,"['massive', 'success', 'indieapril', 'happy', 'saw', 'two', 'reviews', 'amazon', 'today', 'made', 'happy', 'week', 'personal', 'life', 'little', 'better', 'reviewmay', 'darkfantasy', 'one', 'detailed', 'review', 'nevergiveup', 'find', 'audience', 'pick']"
Neutral,rainbow game spearheadbeer best combination for enjoying the pro leagues before head montreal see the final live pick,"['rainbow', 'game', 'spearheadbeer', 'best', 'combination', 'enjoying', 'pro', 'leagues', 'head', 'montreal', 'see', 'final', 'live', 'pick']"
Irrelevant,back the metes love the base follow every day hyper for everyday content fortunate meme metes may org gazing,"['back', 'metes', 'love', 'base', 'follow', 'every', 'day', 'hyper', 'everyday', 'content', 'fortunate', 'meme', 'metes', 'may', 'org', 'gazing']"
Neutral,just earned the daily quests completed achievement warrant,"['earned', 'daily', 'quests', 'completed', 'achievement', 'warrant']"
Negative,playapex can you guns please fix the discontent recollect issue really sucks getting penalized ranged for discontent and dying you need invincibility something you can get killed cut really bullshit,"['playapex', 'guns', 'please', 'fix', 'discontent', 'recollect', 'issue', 'really', 'sucks', 'getting', 'penalized', 'ranged', 'discontent', 'dying', 'need', 'invincibility', 'something', 'get', 'killed', 'cut', 'really', 'bullshit']"
Neutral,first game the day eventhough damage embarrassing apexlegends apex gazing apex pick,"['first', 'game', 'day', 'eventhough', 'damage', 'embarrassing', 'apexlegends', 'apex', 'gazing', 'apex', 'pick']"
Positive,exciting news horizon ericsson and qualcomm are first the world achieve peak speed teamericsson,"['exciting', 'news', 'horizon', 'ericsson', 'qualcomm', 'first', 'world', 'achieve', 'peak', 'speed', 'teamericsson']"
Negative,now na all gutta something about this,"['na', 'gutta', 'something']"
Neutral,damn hard decision at anna join warrant influence program need stop datamining what should,"['damn', 'hard', 'decision', 'anna', 'join', 'warrant', 'influence', 'program', 'need', 'stop', 'datamining']"
Negative,,[]
Irrelevant,thank you everyone who joined kerfuffle stream tonight monster hunter then battlefield then back monster hunter been teammates need make their minds may twitch monsterhunterworld battlefield swordandshieldonlychallenge,"['thank', 'everyone', 'joined', 'kerfuffle', 'stream', 'tonight', 'monster', 'hunter', 'battlefield', 'back', 'monster', 'hunter', 'teammates', 'need', 'make', 'minds', 'may', 'twitch', 'monsterhunterworld', 'battlefield', 'swordandshieldonlychallenge']"
Irrelevant,this point starting feel like overwatch was hoax,"['point', 'starting', 'feel', 'like', 'overwatch', 'hoax']"
Irrelevant,this guy fucking cracked holeeee,"['guy', 'fucking', 'cracked', 'holeeee']"
Neutral,big news numerous great companies are seeing fantastic results da must move quickly status,"['big', 'news', 'numerous', 'great', 'companies', 'seeing', 'fantastic', 'results', 'da', 'must', 'move', 'quickly', 'status']"
Negative,what joke tomclancysrainbowsixsiege xboxshare pick,"['joke', 'tomclancysrainbowsixsiege', 'xboxshare', 'pick']"
Negative,today found out that windows montana actually sounds like men taylor america but nowhere else what the fuck microsoft,"['today', 'found', 'windows', 'montana', 'actually', 'sounds', 'like', 'men', 'taylor', 'america', 'nowhere', 'else', 'fuck', 'microsoft']"
Negative,na fuck your face ass garage ass game,"['na', 'fuck', 'face', 'ass', 'garage', 'ass', 'game']"
Positive,watching you kalloori perfect situation mystic river camp prescott day johnson marcus leg harry porter years mille laws leopard kari ivan rakitic hilton dan glazed jeff carter julie fascia algemarin borderlands always love you online,"['watching', 'kalloori', 'perfect', 'situation', 'mystic', 'river', 'camp', 'prescott', 'day', 'johnson', 'marcus', 'leg', 'harry', 'porter', 'years', 'mille', 'laws', 'leopard', 'kari', 'ivan', 'rakitic', 'hilton', 'dan', 'glazed', 'jeff', 'carter', 'julie', 'fascia', 'algemarin', 'borderlands', 'always', 'love', 'online']"
Positive,hell excited for tonight always participating under aceofpyrite leadership and looking forward terrific evening rainbowsixsiege you looking for some siege watch swing and say hello from,"['hell', 'excited', 'tonight', 'always', 'participating', 'aceofpyrite', 'leadership', 'looking', 'forward', 'terrific', 'evening', 'rainbowsixsiege', 'looking', 'siege', 'watch', 'swing', 'say', 'hello']"
Positive,good fucking day today happy back more ta,"['good', 'fucking', 'day', 'today', 'happy', 'back', 'ta']"
Neutral,some girls really think that george flood did something wrong after wrote whole post facebook about how black lives matter don anna friend with racism people swear didn know they racism feel bad for knowing them,"['girls', 'really', 'think', 'george', 'flood', 'something', 'wrong', 'wrote', 'whole', 'post', 'facebook', 'black', 'lives', 'matter', 'anna', 'friend', 'racism', 'people', 'swear', 'know', 'racism', 'feel', 'bad', 'knowing']"
Neutral,west had bit hope for good playoff finish but slowly dying with exports getting worse with every game least getting few wins leagueoflegends worlds lolesports let,"['west', 'bit', 'hope', 'good', 'playoff', 'finish', 'slowly', 'dying', 'exports', 'getting', 'worse', 'every', 'game', 'least', 'getting', 'wins', 'leagueoflegends', 'worlds', 'lolesports', 'let']"
Positive,your doing gods work,"['gods', 'work']"
Irrelevant,goose your name horror aesthetic don exist enough had use middle name too pick,"['goose', 'name', 'horror', 'aesthetic', 'exist', 'enough', 'use', 'middle', 'name', 'pick']"
Neutral,ranged end cry fresh,"['ranged', 'end', 'cry', 'fresh']"
Neutral,thought dis night meant her ass,"['thought', 'dis', 'night', 'meant', 'ass']"
Neutral,red dead redemption box one videogames,"['red', 'dead', 'redemption', 'box', 'one', 'videogames']"
Positive,playing through the witches again and the novigrad quests and the atmosphere make even more excited for the cyberpunkgame can wait get the night city,"['playing', 'witches', 'novigrad', 'quests', 'atmosphere', 'make', 'even', 'excited', 'cyberpunkgame', 'wait', 'get', 'night', 'city']"
Neutral,normally dont put time and effort into people like this but this shows exactly the kind people who participate rainbow game since when disallowed play with girl friends who are lower ranged than are pick,"['normally', 'dont', 'put', 'time', 'effort', 'people', 'like', 'shows', 'exactly', 'kind', 'people', 'participate', 'rainbow', 'game', 'since', 'disallowed', 'play', 'girl', 'friends', 'lower', 'ranged', 'pick']"
Negative,fortnitegame making the storm water was the most retarded thing anyone could come with like all anna ruin own game,"['fortnitegame', 'making', 'storm', 'water', 'retarded', 'thing', 'anyone', 'could', 'come', 'like', 'anna', 'ruin', 'game']"
Negative,damn,['damn']
Neutral,was all totally legal johnson johnson companies used super poppy make narcotics for popular ovoid pills,"['totally', 'legal', 'johnson', 'johnson', 'companies', 'used', 'super', 'poppy', 'make', 'narcotics', 'popular', 'ovoid', 'pills']"
Positive,been year and half since red dead redemption came out and finally have time play now has completely sucked away days life now very worth,"['year', 'half', 'since', 'red', 'dead', 'redemption', 'came', 'finally', 'time', 'play', 'completely', 'sucked', 'away', 'days', 'life', 'worth']"
Positive,the got fortunate all rip box,"['got', 'fortunate', 'rip', 'box']"
Irrelevant,check his channel out super underrated,"['check', 'channel', 'super', 'underrated']"
Irrelevant,first community ban with after killing someone via shooting his exposed legs wonder that who struggled getting would suspected hacking that guy was not the first one this the complement for skill battlefield communitygames pick,"['first', 'community', 'ban', 'killing', 'someone', 'via', 'shooting', 'exposed', 'legs', 'wonder', 'struggled', 'getting', 'would', 'suspected', 'hacking', 'guy', 'first', 'one', 'complement', 'skill', 'battlefield', 'communitygames', 'pick']"
Neutral,jimbcbs hey jim disagree politics and policies but the greater that cursed you home depot was out line sorry that others have made you deal with that,"['jimbcbs', 'hey', 'jim', 'disagree', 'politics', 'policies', 'greater', 'cursed', 'home', 'depot', 'line', 'sorry', 'others', 'made', 'deal']"
